,b'\x83{\x81[\x83\x8a\x83\x93\x83O',b'PL\x8b\xe6\x95\xaa',recoords
163,851,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15560781.616900392, 4273482.241272508]]"
164,852,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15560365.093481956, 4273071.627079386]]"
165,853,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15560456.313811505, 4273077.345723622]]"
166,854,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15560433.740401607, 4273032.739532292]]"
167,855,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15560235.219446724, 4272884.816062905]]"
168,856,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15560886.443687541, 4273604.24658299]]"
169,858,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15558962.463692155, 4272748.713745418]]"
170,859,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15558915.771166908, 4272733.845438581]]"
171,878,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15559146.142671438, 4273015.965769384]]"
172,879,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15559159.13257224, 4273483.005563186]]"
173,880,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15558659.12292587, 4273701.854466457]]"
174,881,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15558619.54291483, 4273757.139189247]]"
175,882,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15559094.812566822, 4273136.4411841305]]"
176,883,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15559094.813661288, 4273327.069345737]]"
177,884,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15558940.202962453, 4273327.069461378]]"
178,885,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15559125.735955033, 4273365.195381978]]"
179,886,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15559187.579439485, 4273212.691993628]]"
180,887,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15559249.42387999, 4273250.817572932]]"
181,888,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15559187.579587905, 4273250.817575765]]"
182,930,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550841.384455055, 4272623.283653698]]"
183,932,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550608.23170281, 4272651.494772716]]"
184,935,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550403.836422285, 4272689.999354498]]"
185,951,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547715.462349173, 4272717.064350362]]"
186,952,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15548210.21740186, 4272564.570169776]]"
187,953,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15548210.217698663, 4272640.817147336]]"
188,954,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547313.473498475, 4272717.06419652]]"
189,957,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547220.706507891, 4272602.693188051]]"
190,958,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547282.55094399, 4272602.693145664]]"
191,959,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547313.473162055, 4272602.693239771]]"
192,961,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547251.628869966, 4272640.816689529]]"
193,962,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547313.473274704, 4272640.816719264]]"
194,963,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547313.473274704, 4272640.816719264]]"
195,965,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547282.551200159, 4272678.940359019]]"
196,967,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547313.473498475, 4272717.06419652]]"
197,989,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15534060.519504704, 4272777.309687471]]"
198,990,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533998.67577387, 4272891.682391644]]"
199,994,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15532854.863449723, 4272586.692115469]]"
200,995,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533164.08534127, 4272624.815324119]]"
201,996,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15532700.253099937, 4272662.939186252]]"
202,997,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15533658.531265672, 4272739.186079684]]"
203,1020,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15508263.724803677, 4272677.813404152]]"
204,1021,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15508307.633774253, 4272612.240871995]]"
205,1024,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15507529.942298157, 4272523.0325258365]]"
206,1025,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15507459.75041208, 4272755.586156081]]"
207,1026,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15507489.126754519, 4272817.347205641]]"
208,1027,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15507541.385408387, 4272858.140074397]]"
209,1028,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15507490.982166812, 4272836.79055674]]"
210,1029,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15507430.68410193, 4272839.077994098]]"
211,1030,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15507587.150380349, 4272917.232866354]]"
212,1034,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15505709.868773924, 4272801.335496397]]"
213,1035,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15505699.664614026, 4272833.74107718]]"
214,1036,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15505714.506907644, 4272768.548792582]]"
215,1037,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15505653.590567848, 4272819.635126511]]"
216,1038,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506100.724821461, 4272921.808322914]]"
217,1043,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15506219.156347612, 4272909.608349873]]"
218,1047,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15505832.937375974, 4272525.32041673]]"
219,1051,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504869.098740462, 4273208.890025522]]"
220,1052,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504937.436944364, 4273264.55348083]]"
221,1053,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504841.269116133, 4273251.590767494]]"
222,1054,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15505003.610383032, 4273307.254421345]]"
223,1056,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504984.12701046, 4272805.910486949]]"
224,1057,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504973.922513459, 4272765.880206722]]"
225,1058,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504899.091115205, 4272769.69264631]]"
226,1059,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504830.443787806, 4272713.2693157755]]"
227,1060,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504763.34253181, 4272668.283288468]]"
228,1061,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504550.289431242, 4272699.163510527]]"
229,1062,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15504568.224155467, 4272681.626590442]]"
230,1064,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15503444.206726922, 4272885.5901375]]"
231,1066,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15501654.742149564, 4272444.88027134]]"
232,1067,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15501680.717033735, 4272514.264210535]]"
233,1174,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15570638.355660602, 4272079.260465006]]"
234,1175,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15570638.355660602, 4272079.260465006]]"
235,1176,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15569623.79628441, 4271485.725134956]]"
